fromOpp	abbrev	Freyd/S1_18.lean	212	{C : Type u} → OppCat C → C	The canonical coercion back: every object of `OppCat C` is an object of `C`.	3052608340671333484	6
oppOpp_eq	thm	Freyd/S1_18.lean	215	∀ (C : Type u) [Cat C], OppCat (OppCat C) = C	**§1.182**: The identity function `OppCat (OppCat C) = C` — taking the opposite twice	2639862394	13
IdMorphs	def	Freyd/S1_18.lean	226	(C : Type u) → [Cat C] → Type u	**§1.19**: The SET OF IDENTITY MORPHISMS of `𝒞`, written `|𝒞|` in the book.	410358663906192974	7
functor_on_idMorphs	def	Freyd/S1_18.lean	230	{C : Type u₁} → [inst : Cat C] → {D : Type u₂} → [inst_1 : Cat D] → Functor C D → IdMorphs C → IdMorphs D	**§1.19**: A functor `F : 𝒞 → 𝒟` induces a function `|𝒞| → |𝒟|`	13449375297246742635	27
GroupObj	ind	Freyd/S1_24.lean	29	Type (u + 1)	A group structure (over a carrier type): multiplication, inverse, unit,	9555495600963148252	0
GroupObj.carrier	abbrev	Freyd/S1_24.lean	32	GroupObj → Type u	§1.242  Category of groups	6376614133687168218	4
GroupObj.mul	abbrev	Freyd/S1_24.lean	33	(self : GroupObj) → self.carrier → self.carrier → self.carrier	§1.242  Category of groups	6063527890355565135	4
GroupObj.one	abbrev	Freyd/S1_24.lean	34	(self : GroupObj) → self.carrier	§1.242  Category of groups	976691219211168516	4
GroupObj.inv	abbrev	Freyd/S1_24.lean	35	(self : GroupObj) → self.carrier → self.carrier	§1.242  Category of groups	6912702688562282614	4
GroupObj.mul_assoc	thm	Freyd/S1_24.lean	36	∀ (self : GroupObj) (a b c : self.carrier), self.mul (self.mul a b) c = self.mul a (self.mul b c)	§1.242  Category of groups	1651418060	4
GroupObj.one_mul	thm	Freyd/S1_24.lean	37	∀ (self : GroupObj) (a : self.carrier), self.mul self.one a = a	§1.242  Category of groups	2499529319	4
GroupObj.mul_one	thm	Freyd/S1_24.lean	38	∀ (self : GroupObj) (a : self.carrier), self.mul a self.one = a	§1.242  Category of groups	334736263	4
GroupObj.mul_inv	thm	Freyd/S1_24.lean	39	∀ (self : GroupObj) (a : self.carrier), self.mul (self.inv a) a = self.one	§1.242  Category of groups	2358003058	4
GroupHom	ind	Freyd/S1_24.lean	41	GroupObj → GroupObj → Type (max u_1 u_2)	A group homomorphism between two `GroupObj`s.	4845942196844827669	0
GroupHom.toFun	abbrev	Freyd/S1_24.lean	43	{G : GroupObj} → {H : GroupObj} → GroupHom G H → G.carrier → H.carrier	§1.242  Category of groups	7379618369685056056	11
GroupHom.map_mul	thm	Freyd/S1_24.lean	44	∀ {G : GroupObj} {H : GroupObj} (self : GroupHom G H) (a b : G.carrier), self.toFun (G.mul a b) = H.mul (self.toFun a) (self.toFun b)	§1.242  Category of groups	3470299547	11
GroupHom.map_one	thm	Freyd/S1_24.lean	45	∀ {G : GroupObj} {H : GroupObj} (self : GroupHom G H), self.toFun G.one = H.one	§1.242  Category of groups	2896331512	11
GroupHom.comp	def	Freyd/S1_24.lean	47	{G : GroupObj} → {H : GroupObj} → {K : GroupObj} → GroupHom G H → GroupHom H K → GroupHom G K	Composition of group homomorphisms.	15832665570970460778	51
GroupHom.id	def	Freyd/S1_24.lean	53	(G : GroupObj) → GroupHom G G	Identity group homomorphism.	14707103236137275471	16
GroupHom.ext	thm	Freyd/S1_24.lean	59	∀ {G : GroupObj} {H : GroupObj} {f g : GroupHom G H}, f.toFun = g.toFun → f = g	§1.242  Category of groups	2491338362	358
GroupHom.ext_iff	thm	Freyd/S1_24.lean	59	∀ {G : GroupObj} {H : GroupObj} {f g : GroupHom G H}, f = g ↔ f.toFun = g.toFun	§1.242  Category of groups	4039565453	156
groupCat	instance	Freyd/S1_24.lean	63	Cat GroupObj	**§1.242** The CATEGORY OF GROUPS: objects = `GroupObj`, morphisms = `GroupHom`.	3679460710223905461	38
PreOrd	ind	Freyd/S1_24.lean	74	Type (u + 1)	A pre-ordering on a type: reflexive and transitive relation.	13400880161541518089	0
PreOrd.carrier	abbrev	Freyd/S1_24.lean	76	PreOrd → Type u	§1.245  Pre-ordered set as a category	10200359141734918652	4
PreOrd.le	abbrev	Freyd/S1_24.lean	77	(self : PreOrd) → self.carrier → self.carrier → Prop	§1.245  Pre-ordered set as a category	16638828480836781986	4
PreOrd.le_refl	thm	Freyd/S1_24.lean	78	∀ (self : PreOrd) (a : self.carrier), self.le a a	§1.245  Pre-ordered set as a category	3286895702	4
PreOrd.le_trans	thm	Freyd/S1_24.lean	79	∀ (self : PreOrd) {a b c : self.carrier}, self.le a b → self.le b c → self.le a c	§1.245  Pre-ordered set as a category	1811389345	4
PreOrdHom	def	Freyd/S1_24.lean	81	(P : PreOrd) → P.carrier → P.carrier → Type	The unique morphism type x→y in a pre-order category (a proof that x ≤ y).	9461076993430989951	16
preOrderCat	instance	Freyd/S1_24.lean	84	(P : PreOrd) → Cat P.carrier	**§1.245** The pre-ordered set P as a category: one morphism x→y iff x ≤ y.	16310213293279329654	67
orderPreservingFunctor	def	Freyd/S1_24.lean	93	(P : PreOrd) → (Q : PreOrd) → (f : P.carrier → Q.carrier) → (∀ {a b : P.carrier}, P.le a b → Q.le (f a) (f b)) → Functor P.carrier Q.carrier	An order-preserving map between pre-orders is a functor between their categories (§1.245).	14755737012312732538	84
PointedSet	ind	Freyd/S1_24.lean	104	Type (u + 1)	A pointed set: a set together with a distinguished element (the "base point").	11913185835186551270	0
PointedSet.carrier	abbrev	Freyd/S1_24.lean	108	PointedSet → Type u	§1.263  Pointed sets (the counter-slice 1/𝒮)	1073194008720644719	4
PointedSet.basePoint	abbrev	Freyd/S1_24.lean	109	(self : PointedSet) → self.carrier	§1.263  Pointed sets (the counter-slice 1/𝒮)	1324647738659856601	4
PointedHom	ind	Freyd/S1_24.lean	111	PointedSet → PointedSet → Type (max u_1 u_2)	A morphism of pointed sets: a function preserving the base point.	4995494613939474901	0
PointedHom.toFun	abbrev	Freyd/S1_24.lean	113	{X : PointedSet} → {Y : PointedSet} → PointedHom X Y → X.carrier → Y.carrier	§1.263  Pointed sets (the counter-slice 1/𝒮)	12501138974666887347	11
PointedHom.map_point	thm	Freyd/S1_24.lean	114	∀ {X : PointedSet} {Y : PointedSet} (self : PointedHom X Y), self.toFun X.basePoint = Y.basePoint	§1.263  Pointed sets (the counter-slice 1/𝒮)	3414779062	11
PointedHom.ext_iff	thm	Freyd/S1_24.lean	116	∀ {X : PointedSet} {Y : PointedSet} {f g : PointedHom X Y}, f = g ↔ f.toFun = g.toFun	§1.263  Pointed sets (the counter-slice 1/𝒮)	123760271	156
PointedHom.ext	thm	Freyd/S1_24.lean	116	∀ {X : PointedSet} {Y : PointedSet} {f g : PointedHom X Y}, f.toFun = g.toFun → f = g	§1.263  Pointed sets (the counter-slice 1/𝒮)	3437046270	259
pointedSetCat	instance	Freyd/S1_24.lean	120	Cat PointedSet	**§1.263** The category of POINTED SETS (= counter-slice 1/𝒮).	16734444550516705152	62
RightASet	ind	Freyd/S1_24.lean	131	(A : Type u) → [Cat A] → Type (max (u + 1) (v + 1))	A RIGHT A-SET (§1.271): a set X with a "source" map X → |A| and a partial action	15401148237320925704	0
RightASet.carrier	abbrev	Freyd/S1_24.lean	135	{A : Type u} → [inst : Cat A] → RightASet A → Type (max u v)	§1.271  Right A-sets	8212210604599340769	12
RightASet.src	abbrev	Freyd/S1_24.lean	137	{A : Type u} → [inst : Cat A] → (self : RightASet A) → self.carrier → A	Source map X → |A|: assigns to each point its "current object".	14111355029950376965	12
RightASet.act	abbrev	Freyd/S1_24.lean	139	{A : Type u} → [inst : Cat A] → (self : RightASet A) → (x : self.carrier) → {A' : A} → Cat.Hom A' (self.src x) → self.carrier	Partial action: given x : carrier and a morphism a : A' → src x, produce a new point.	17623697394782304002	12
RightASet.act_id	thm	Freyd/S1_24.lean	141	∀ {A : Type u} [inst : Cat A] (self : RightASet A) (x : self.carrier), self.act x (Cat.id (self.src x)) = x	x · id = x.	2307144914	12
RightASet.act_src	thm	Freyd/S1_24.lean	143	∀ {A : Type u} [inst : Cat A] (self : RightASet A) (x : self.carrier) {A' : A} (a : Cat.Hom A' (self.src x)), self.src (self.act x a) = A'	src(x · a) = domain of a.	2612830296	12
RightASet.act_comp	thm	Freyd/S1_24.lean	145	∀ {A : Type u} [inst : Cat A] (self : RightASet A) (x : self.carrier) {A' B' : A} (a : Cat.Hom A' (self.src x)) (b : Cat.Hom B' A'), self.act x (Cat.comp b a) = self.act (self.act x a) (⋯ ▸ b)	x · (b ≫ a) = (x · a) · b (diagram-order: b then a).	3753708836	12
RightASetHom	ind	Freyd/S1_24.lean	148	(A : Type u) → [inst : Cat A] → RightASet A → RightASet A → Type (max u v)	A morphism of right A-sets: a function respecting source and action.	13758017085777957336	0
RightASetHom.toFun	abbrev	Freyd/S1_24.lean	150	{A : Type u} → [inst : Cat A] → {X Y : RightASet A} → RightASetHom A X Y → X.carrier → Y.carrier	§1.271  Right A-sets	10508242461379406419	23
RightASetHom.map_src	thm	Freyd/S1_24.lean	151	∀ {A : Type u} [inst : Cat A] {X Y : RightASet A} (self : RightASetHom A X Y) (x : X.carrier), Y.src (self.toFun x) = X.src x	§1.271  Right A-sets	1060223245	23
RightASetHom.map_act	thm	Freyd/S1_24.lean	152	∀ {A : Type u} [inst : Cat A] {X Y : RightASet A} (self : RightASetHom A X Y) (x : X.carrier) {A' : A} (a : Cat.Hom A' (X.src x)), self.toFun (X.act x a) = Y.act (self.toFun x) (⋯ ▸ a)	§1.271  Right A-sets	3933792358	23
